Application,Tool,Partition Count,Decomposition Type,Commits,Contributors,Class Names,Static Structural,Granularity,SMQ,CMQ,CDP,TurboMQ_commits,TurbomMQ_contributors
jpetstore,mem,3_partitions,3600_100-6_LC_SS,X,X,X,100.0,method_level,-1,X,0.0,100.0,100.0
jpetstore,mem,3_partitions,3600_100-6_LC_SS,X,X,X,100.0,class_level,-1,X,0.0,100.0,100.0
jpetstore,mem,3_partitions,3600_100-6_LC_TS,X,X,X,100.0,method_level,-1,X,0.0,100.0,100.0
jpetstore,mem,3_partitions,3600_100-6_LC_TS,X,X,X,100.0,class_level,-1,X,0.0,100.0,100.0
jpetstore,mem,3_partitions,3600_100-6_LC_TS_SS,X,X,X,100.0,method_level,-1,X,0.0,100.0,100.0
jpetstore,mem,3_partitions,3600_100-6_LC_TS_SS,X,X,X,100.0,class_level,-1,X,0.0,100.0,100.0
jpetstore,mem,3_partitions,3600_100-6_SS,X,X,X,58.31643002028398,method_level,-1,X,33.33333333333333,33.13691301007016,33.148740100205565
jpetstore,mem,3_partitions,3600_100-6_SS,X,X,X,56.21345029239766,class_level,-1,X,33.33333333333333,33.13691301007016,33.148740100205565
jpetstore,mem,3_partitions,3600_100-6_TS,X,X,X,49.275362318840585,method_level,-1,X,0.0,50.0,50.0
jpetstore,mem,3_partitions,3600_100-6_TS,X,X,X,49.21259842519685,class_level,-1,X,0.0,50.0,50.0
jpetstore,mem,3_partitions,3600_100-6_TS_SS,X,X,X,66.09042553191489,method_level,-1,X,100.0,49.81139426167463,49.83759936737837
jpetstore,mem,3_partitions,3600_100-6_TS_SS,X,X,X,47.05882352941176,class_level,-1,X,100.0,49.81139426167463,49.83759936737837
demo,mem,4_partitions,3600_100000_LC,X,X,X,100.0,method_level,-1,X,0.0,100.0,100.0
demo,mem,4_partitions,3600_100000_LC,X,X,X,100.0,class_level,-1,X,0.0,100.0,100.0
demo,mem,4_partitions,3600_100000_LC_SS,X,X,X,66.12637362637362,method_level,-1,X,100.0,55.54835570203264,49.75369458128079
demo,mem,4_partitions,3600_100000_LC_SS,X,X,X,47.31182795698925,class_level,-1,X,100.0,55.54835570203264,49.75369458128079
demo,mem,4_partitions,3600_100000_LC_TS,X,X,X,65.16287982480154,method_level,-1,X,66.66666666666666,43.1863571639482,32.860520094562645
demo,mem,4_partitions,3600_100000_LC_TS,X,X,X,30.476190476190474,class_level,-1,X,66.66666666666666,43.1863571639482,32.860520094562645
demo,mem,4_partitions,3600_100000_LC_TS_SS,X,X,X,78.49212402988147,method_level,-1,X,0.0,33.32184589875418,24.642857142857142
demo,mem,4_partitions,3600_100000_LC_TS_SS,X,X,X,47.399163797343824,class_level,-1,X,0.0,33.32184589875418,24.642857142857142
demo,mem,4_partitions,3600_100000_SS,X,X,X,50.0,method_level,-1,X,0.0,49.92583436341162,49.75369458128079
demo,mem,4_partitions,3600_100000_SS,X,X,X,50.0,class_level,-1,X,0.0,49.92583436341162,49.75369458128079
demo,mem,4_partitions,3600_100000_TS,X,X,X,44.20717538804722,method_level,-1,X,16.666666666666664,32.87091108024093,24.48630136986301
demo,mem,4_partitions,3600_100000_TS,X,X,X,19.094488188976378,class_level,-1,X,33.33333333333333,32.87091108024093,24.48630136986301
demo,mem,4_partitions,3600_100000_TS_SS,X,X,X,78.49212402988147,method_level,-1,X,0.0,33.32184589875418,24.642857142857142
demo,mem,4_partitions,3600_100000_TS_SS,X,X,X,47.399163797343824,class_level,-1,X,0.0,33.32184589875418,24.642857142857142
partsunlimited,mem,5_partitions,3600_1000_LC,X,X,X,100.0,method_level,-1,X,0.0,100.0,100.0
partsunlimited,mem,5_partitions,3600_1000_LC,X,X,X,0.0,class_level,-1,X,0.0,100.0,100.0
partsunlimited,mem,5_partitions,3600_1000_LC_SS,X,X,X,36.470588235294116,method_level,-1,X,0.0,33.17461137530264,33.1452153906799
partsunlimited,mem,5_partitions,3600_1000_LC_SS,X,X,X,36.2802430913886,class_level,-1,X,0.0,33.17461137530264,33.1452153906799
partsunlimited,mem,5_partitions,3600_1000_LC_TS,X,X,X,100.0,method_level,-1,X,0.0,100.0,100.0
partsunlimited,mem,5_partitions,3600_1000_LC_TS,X,X,X,50.0,class_level,-1,X,0.0,50.0,50.0
partsunlimited,mem,5_partitions,3600_1000_LC_TS_SS,X,X,X,100.0,method_level,-1,X,0.0,100.0,100.0
partsunlimited,mem,5_partitions,3600_1000_LC_TS_SS,X,X,X,100.0,class_level,-1,X,0.0,100.0,100.0
partsunlimited,mem,5_partitions,3600_1000_SS,X,X,X,87.14622641509435,method_level,-1,X,100.0,50.178775651838784,50.2377700975275
