Application,Tool,Partition Count,Variant,Granularity,NED,Completeness,Actual Partition Count,Min,Max,Mean,Stdev,Median
demo,mem,4,3600_10_TS,class_level,66.66666666666667,30 (63.8%),17,1,4,1.7647058823529411,0.9034248560828041,2.0
partsunlimited,mem,5,3600_10_TS,method_level,42.52873563218391,348 (84.5%),12,4,84,29.0,24.22995891640985,18.0
partsunlimited,mem,5,3600_10_TS,class_level,47.72727272727273,42 (79.2%),12,1,8,3.6666666666666665,2.2696949467968492,3.0
spring-petclinic,mem,3,3600_10_TS,method_level,54.23728813559322,59 (52.7%),4,4,27,14.75,9.97914491994847,14.0
spring-petclinic,mem,3,3600_10_TS,class_level,60.0,10 (43.5%),4,1,4,2.5,1.2909944487358056,2.5
demo,mem,4,3600_10_TS_SS,method_level,48.0392156862745,204 (69.2%),15,1,97,13.6,23.600242129508512,7.0
demo,mem,4,3600_10_TS_SS,class_level,66.66666666666667,36 (76.6%),15,1,7,2.4,1.6818357317441643,2.0
partsunlimited,mem,5,3600_10_TS_SS,method_level,49.70760233918129,342 (83.0%),15,1,65,22.8,19.5820617621624,15.0
partsunlimited,mem,5,3600_10_TS_SS,class_level,54.54545454545454,43 (81.1%),15,1,5,2.933333333333333,1.624221425205085,3.0
spring-petclinic,mem,3,3600_10_TS_SS,method_level,53.623188405797094,69 (61.6%),5,4,32,13.8,10.639548862616309,11.0
spring-petclinic,mem,3,3600_10_TS_SS,class_level,100.0,15 (65.2%),5,1,4,3.0,1.4142135623730951,4.0
demo,mono2micro,4,business,method_level,23.684210526315784,190 (64.4%),4,12,133,47.5,57.25090974531904,22.5
demo,mono2micro,4,business,class_level,36.66666666666667,30 (63.8%),4,3,19,7.5,7.681145747868608,4.0
jpetstore,mono2micro,3,business,method_level,49.45848375451264,277 (91.7%),3,55,140,92.33333333333333,43.431939092485074,82.0
jpetstore,mono2micro,3,business,class_level,52.94117647058824,17 (70.8%),3,4,8,5.666666666666667,2.0816659994661326,5.0
partsunlimited,mono2micro,5,business,method_level,66.32996632996633,297 (72.1%),5,5,95,59.4,34.03380672214026,65.0
partsunlimited,mono2micro,5,business,class_level,64.51612903225806,31 (58.5%),5,1,10,6.2,3.420526275297414,7.0
spring-petclinic,mono2micro,3,business,method_level,43.29896907216495,97 (86.6%),3,9,55,32.333333333333336,23.007245235649865,33.0
spring-petclinic,mono2micro,3,business,class_level,100.0,17 (73.9%),3,3,7,5.666666666666667,2.309401076758503,7.0
